36,JF188,DS.TANJUNGREJO,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),5/15/2015,114.1381739,-8.456482356
37,JF344,DS.BULUSARI,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),4/30/2015,114.1895426,-8.425180038
38,JF070,DS.SERE,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),5/18/2015,114.168522,-8.46320598
39,JF116,DS.PETAHUNAN,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),4/28/2012,114.1821303,-8.445775459
40,JF178,DS.CEMETUK,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),,114.1952308,-8.417450697
41,JF042,DS. WRINGINAGUNG,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),7/18/2007,114.1814175,-8.433137038
42,JF145,DS. PETAHUNAN,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),8/31/2007,114.1835701,-8.448382013
43,JF105,DS. PETAUNAN,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),1/7/2011,114.183246,-8.452334623
44,JF045,DS. WRINGINAGUNG,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),7/18/2007,114.1801643,-8.435781504
45,JF051,DS. KEBONDALEM,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),7/18/2007,114.1589496,-8.466598
46,JF287,DS. SENDANGREJO,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),10/18/2008,114.1496415,-8.458160922
47,JF288,DS. KEBONDALEM,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),11/12/2008,114.1350757,-8.456544386
48,JF234,DS.PADANGBULAN,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),2/5/2007,114.1228603,-8.427575619
49,JF192,DS.JAJAG,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),6/29/2011,114.1860358,-8.443467066
50,JF349,DS.GEMBOLO,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),3/3/2018,114.1761576,-8.453577723
51,JF091,DS.KRAJAN,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),9/25/2018,114.1897882,-8.439707078
